tmin;tmax;word;pretonic;tonic
52,704053;53,149721;фольклор;ъ;о закр
70,169488;70,62536;фольклоре;ъ;о откр
71,876637;72,371729;фольклором;ъ;о откр
143,588984;144,166686;гармонь;а;о закр
152,030005;152,519057;гармонь;а;о закр
155,152389;155,676907;гармонь;а;о закр
158,609121;159,183166;гармонь;а;о закр
160,667906;161,067261;гармонь;а;о закр
168,971433;169,535696;гармошка;а;о лит
169,912846;170,326716;гармонь;а;о откр
178,862326;179,290018;гармонь;а;о откр
187,002589;187,75944;саксофон;а;о закр
193,586288;194,574787;саксофон;а;о закр
207,69976;208,345178;картон;а;о закр
209,673675;210,373954;картон;а;о закр
211,999197;212,594282;картонный;а;о лит
213,437043;213,965989;картон;а;о закр
219,636809;220,464805;картонное;а;о лит
231,227541;232,025383;одеколон;а;о закр
234,897886;235,782975;наодеколонила;а;о закр
245,498309;246,034056;пролог;а;о закр
255,852388;256,348643;пролог;а;о лит
259,580191;260,261014;марафон;а;о закр
261,580962;262,039491;марафон;а;о лит
274,357737;275,061855;алкоголь;а;о закр
284,918578;285,676783;алкоголик;а;о закр
286,006259;286,589762;алкоголь;а;о закр
291,358087;292,073296;фасоль;а;о лит
293,393451;294,169043;фасоль;а;о закр
298,417466;299,077442;фасоли;а;о лит
299,489691;300,041636;фасоль;а;о откр
301,965595;302,39551;фасоль;а;о лит
304,973811;305,754717;фасолевый;а;о закр
309,123187;309,760396;фасоли;а;о закр
312,395376;312,849928;фасоль;а;о закр
315,775088;316,229133;фасоль;а;о закр
327,56981;328,03399;фасоль;а;о закр
340,338226;340,93449;монокль;а;о откр
343,480966;344,152312;корвалол;а;о лит
344,492298;345,003972;корвалол;а;о закр
360,085333;360,68381;кимоно;а;о откр
363,397704;363,878099;кимоно;а;о откр
365,380958;365,867496;кимоно;а;о откр
372,565871;373,035036;кимоно;а;о откр
378,08335;378,566647;кимоно;а;о откр
381,933017;382,296214;кимоно;а;о откр
383,351597;383,786909;кимоно;ъ;о откр
387,11079;387,586993;кимоно;а;о откр
464,958625;465,538355;мотор;а-ъ;о откр
470,843553;471,217931;мотор;ъ;о откр
472,637382;473,058232;мотор;ъ;о откр
473,930061;474,357476;мотор;ъ;о откр
480,754005;481,103336;мотор;а-ъ;о откр
484,048118;484,409415;мотор;ъ;о откр
489,566021;490,278858;блокнот;а;о откр
495,668186;496,205676;блокнот;ъ;о откр
505,309846;505,753003;блокнот;ъ;о откр
509,930414;510,419514;блокнот;ъ;о откр
511,270173;511,80938;блокнот;ъ;о откр
513,075798;513,610573;район;а-ъ;о откр
515,347349;515,82347;район;а;о откр
544,313009;544,817248;районы;ъ;о лит
550,809471;551,416784;комод;а;о закр
553,604964;553,936839;комод;а;о закр
