Id;Comment;Like;Comment's timestamp;Post's timestamp;#Deaths;#Infected;#Healed;Annot 1;Annot 2;Annot 3;Final annotation
1;Mbyllni kufijte sot. Sitiata ka me u ba shume keq.;0;Friday, March 13, 2020 1:05am GMT;Thursday, March 12, 2020 5:20pm GMT;0;0;0;2;2;0;2
2;Mbyllni kufit ashtu mund te jemi te sigurte, perndryshe skemi shpetim jemi te rrethuar !;0;Thursday, March 12, 2020 8:06pm GMT;Thursday, March 12, 2020 5:20pm GMT;0;0;0;0;2;0;0
3;Pse nuk po  i  mbyllni  kufijte,  sonte  ne  qytete pat   plot  makina  me  targa  te  zvicres  qe  kane  ardh, ata  duhen  me  wendru  ne  karantine  shtepiake,  por  jo  ,  ata  i  ke  neper  kafeteri...  keshtuqe per  disa  dite  pritemi  covid  19  edhe  ne  ks,  fal  kufinjeve  qe  jan  free  entry;1;Thursday, March 12, 2020 7:41pm GMT;Thursday, March 12, 2020 5:20pm GMT;0;0;0;0;0;0;0
4;Mos  harroni  qe  kufinjte  tane  jane  te  hapur,  po  kalojne  vazhdimisht  njerez, dhe  ju  e  dini  we  vetem  me  matje  te  temperatures  nuk  identifikohen  personat  e  infektuar,..  ;1;Thursday, March 12, 2020 7:39pm GMT;Thursday, March 12, 2020 5:20pm GMT;0;0;0;0;0;0;0
5;Flm per njoftimet e vazhdueshme. A i kontrollini secilin udhetar qe vie ne aeroport nga Evropa ?;0;Thursday, March 12, 2020 6:14pm GMT;Thursday, March 12, 2020 5:20pm GMT;0;0;0;1;1;1;1
6;Mbyllni kufinjt mos luani me jetet e njerzve, me mire te parandalohet se sa te mos sherohet. Gjermania Italia etj etj Ku jemi ne!!!;1;Thursday, March 12, 2020 5:57pm GMT;Thursday, March 12, 2020 5:20pm GMT;0;0;0;0;0;0;0
7;Duke ditur punen me shume perkushtim dhe profesionalizem, ndjehem me  qete  qe tek ne ende nuk ka pacient me koronavirus!;2;Thursday, March 12, 2020 5:41pm GMT;Thursday, March 12, 2020 5:20pm GMT;0;0;0;1;1;1;1
8;Ju lumtë ! ;2;Thursday, March 12, 2020 5:32pm GMT;Thursday, March 12, 2020 5:20pm GMT;0;0;0;1;1;1;1
9;Padyshim puna e madhe dhe profesionale e ketij Instituti jep shprese qe kete pandemi ta kalojme me pasoja me te vogla;8;Thursday, March 12, 2020 5:29pm GMT;Thursday, March 12, 2020 5:20pm GMT;0;0;0;1;1;1;1
10;Zoti të bekoftë , Shotë Galica e dajes Ramiz .;1;Saturday, March 14, 2020 3:31pm GMT;Friday, March 13, 2020 5:00pm GMT;0;2;0;1;1;1;1
11;"Na ka ndihmu....na ka ....."".rru""Karitasi nese ka pru staff ketu me sa kuptova ka qene dashte me pru personel pa virus dhe te pervoje jo avanturiere tini....tash mat pozicion.  Presim *";0;Friday, March 13, 2020 10:45pm GMT;Friday, March 13, 2020 5:00pm GMT;0;2;0;2;2;2;2
12;Osht dasht me fillim me i mbyll kufinat plus linjat ajrore po na jemi shtet i forteee si mbyllim deri sa te kofirmohet naj rast tmerrr ✌;2;Friday, March 13, 2020 9:24pm GMT;Friday, March 13, 2020 5:00pm GMT;0;2;0;2;2;2;2
13;LOKALET LE MYLLEN KAFITERIT ATY KU ESHT RREZIKU;0;Friday, March 13, 2020 9:02pm GMT;Friday, March 13, 2020 5:00pm GMT;0;2;0;0;0;0;0
14;NE VEND SE CDO QARKULLIM MU NDALU ME.KOHE   U   REHATUM QESHININ U KENAQSHIN ...TASH PRITE;0;Friday, March 13, 2020 7:12pm GMT;Friday, March 13, 2020 5:00pm GMT;0;2;0;0;0;0;0
15;Prej neser patjeter duhet te jipet urdher per mbylljecte krejt bizneseseve dhe lokaleve. Me dhane apel me qendru n shpi perveq nevokabe ushqimore dhe mjeksore. Ju lutem reagoni shpejt, tash ne media publike ku kane qaske shumica.;0;Friday, March 13, 2020 7:04pm GMT;Friday, March 13, 2020 5:00pm GMT;0;2;0;0;0;0;0
