sentence	ref_anim	ref_case	 distance	conflict	num	outcome
# text = M??eme Evrop? hodn? d?t a ona by m?la hodn? d?t n?m.	i	Dat	1	no	6	0
# text = Oni p?ece v?d? , a jsou proto hodni d?v?ry.	a	Nom	0	no	1	0
# text = Proto?e o nich on, jako specialista na N?mecko, nic nep??e.	a	Nom	1	no	4	0
# text = Korunu v?emu nasadil ministr Dlouh? tvrzen?m, ?e nebyl hodn?j?? ten, kdo vstoupil do KS? v r. 1963 a byl vyhozen v r. 1969 ?i 1970 ne? ten, kdo vstoupil v r. 1977 a vystoupil v r. 1989 jako on.	a	Nom	6	no	46	0
# text = Ani on s?m, ani dal?? evrop?t?, p?edev??m brit?t? a francouz?t? politici ?i diplomat?, p?esto?e se o to sna?ili, nemohli nad?le odol?vat tlaku Hitlera a jeho gener?l? ?e?it vznikl? spory vojensk?mi prost?edky.	a	Gen	4	no	2	0
# text = O n?kolik minut pozd?ji se dostal do vylo?en? p??le?itosti i Von??ek, ale ani on dv? nuly na ukazateli sk?re nevymazal.a	a	Nom	1	no	15	0
# text = Na toto t?ma by mohl nejzasv?cen?ji p?edn??et mu?, kter? tu sed?l p?ede mnou, proto?e on u? t?m v??m pro?el, ?ekl rakousk? tenista na tiskovce ve Flushing Meadows.	a	Nom	2	no	17	0
# text = On toti? V??a jako ??fredaktor u? nem?l ?as na psan?, a t?m se ?tivost Hlasatele prudce zlep?ila.	a	Nom	0	no	1	0
# text = To prav?m, ?e by to ?e? na?i nectilo, kdyby ona proti gramatick?m pravidl?m s mnoh?mi chybami po zemi se plazila a nikd? s ?e?nickou v?mluvnost? se neok?zala.	i	Akk	1	no	13	0
# text = Pracuj?- li v dobr?ch t?mech, jsou to pr?v? oni, kdo sv?mi n?pady i ?ivotn? energi? postrkuj? v?du vp?ed.	a	Nom	2	no	11	0
# text = I kdy? poch?z?m ze stejn?ho klubu jako Wilander a zpo??tku byl on m?m idolem, hern?m stylem jsem nalad?n na stejnou strunu se Stefanem, tak?e jsem od n?j leccos okoukal, neup?ral Edbergovi pod?l na sv?m ?sp?chu Bj?rkman, kter? se dosud prosazoval p?edev??m v deblu (s Apellem je finalistou posledn?ho French Open) a v?erej?? postup je jeho prvn?m grandslamov?m osmifin?le.	a	Nom	1	no	12	0
# text = Mnoz? se rad?i ani pt?t nebudou, za co byl v?zn?n ??ha, padla by pak ot?zka, za co byli odsouzeni oni sami.	a	Nom	1	no	23	0
"# text = ""Nejsem jedni?kou proto, ?e ony nehraj?."	i	Instr	1	no	7	0
# text = Dnes zanechali vl?da a v?dci v?t?iny zemsk?ho sn?mu sv?ho odporu a uznali z?sady, za kter? jsme my bojovali a oni pot?rali...	a	Nom	3	no	21	0
# text = Kdy? to zjednodu??m, my bychom je zkultivovali a oni by n?m dodali voli?e.	a	Instr	4	no	10	0
# text = Slovensk? dovozce m? pr?vo p?edlo?it j? n?lezy na?? zku?ebny a ona potom zv???, zda je uzn?, nebo si vy??d? dopl?kov? zkou?ky a vystav? pak sv?j doklad.	i	Nom	4	no	11	0
# text = Z?le?? pouze na ka?d?m konkr?tn?m tv?rci, jestli chce ukazovat prvopl?nov? senzace, o kter?ch si on nebo n?kdo jin? mysl?, ?e filmu zaru?? komer?n? ?sp?ch.	a	Lok	2	no	17	0
# text = P??slib talentu nazna?il v Nabuccovi mlad? Richard Hein (i on m? zahrani?n? ?kolen?).	a	Nom	1	no	11	0
# text = V?ak se o d?ti spole?nost postar?, oni ob?as po?lou do ?stavu pohlednici a t?m projev? z?jem.	a	Akk	1	no	8	0
"# text = Ale byl to on s?m, kdo neodkladn? po??dal o zbaven? poslaneck? imunity, jakmile palermsk? prokuratura rozhodla v b?eznu 1993 zah?jit proti n?mu p?edb??n? vy?et?ov?n? pro podez?en? z ""??asti na spol?en? se zlo?inn?m c?lem"" a pot? loni v l?t? p??mo z p??slu?nosti k sicilsk? mafii."	a	Nom	2	no	4	0
# text = Ale on m?l p?edev??m ?pi?kov? sc?n??...	i	Nom	1	no	2	0
# text = Jedn?m z osloven?ch byl i on s?m.	a	Nom	4	no	6	0
# text = Jen?e on dodal, ?e u? existuj? tabletky proti zvracen?, kter? by v m?m p??pad? m?ly zabrat.	a	Nom	3	no	2	0
"# text = Nebo jin? p??klad, kdy? u? jde ?e? o v?n?: "" Existuje aspo? jeden ?lov?k, o n?m? plat?, ?e m?-li on r?d v?no, pak ka?d? m? r?d v?no. """	a	Nom	2	no	26	0
# text = Co? nen? obrazn? sd?len?, on pr? si doopravdy odm?tal koupit nov? boty a chod? ve star?ch, proto?e pot?eboval pen?ze na to, co pova?uje ve sv?m ?ivot? za nejd?le?it?j?? a nejzaj?mav?j?? - experimentov?n?.	a	No data	10	no	6	0
# text = Zde toti? nen? nic k nepochopen?, on pouze pochopit nechce a sv?voln? n?s brzd? na na?? cest? k lep??m z?t?k?m.	a	Gen	4	no	8	0
"# text = Neuzn?v?n? t?chto hranic pak vede nap??klad k myln?m v?klad?m toho, co si lid? opravdu mysl?, nebo k ""v?decky podlo?en?m"" p?esv?d?en?m, ?e v?me, co je pro n? dobr?, tak?e se ?asto nesta??me divit, kdy? zjist?me, ?e oni to za p??li? dobr? zrovna nepova?uj?."	a	Nom	5	no	45	0
