record	partRole	gestureID	stage	gStartTime	gEndTime	gDuration	lenType	handedness	gFunction	isBeat	isPragmatic	isDepictive	isPointing	eduID	eStartTime	eEndTime	eDuration	maxIntersection	P	R	HM	sDifference	sCoord0	eCoord0	sCoord50	eCoord50	sCoord100	eCoord100	sCoord200	eCoord200
4	C	C-mGe001	Conversation	338930	339670	740	medium	Lt	Other, Pragmatic	0	1	0	0	C-vE011	338052	339392	1340	462	0,6243	0,3448	0,444230769	878	D	D	D	D	D	D	D	D
4	C	C-mGe002	Conversation	339670	340330	660	short	Lt	Depictive	0	0	1	0	C-vE012	339392	341650	2258	660	1	0,2923	0,452364634	278	D	A	D	A	D	A	D	A
4	C	C-mGe003	Conversation	340330	340930	600	short	Lt	Depictive	0	0	1	0	C-vE012	339392	341650	2258	600	1	0,2657	0,419874038	938	D	A	D	A	D	A	D	A
4	C	C-mGe004	Conversation	340930	341360	430	short	Lt	Depictive	0	0	1	0	C-vE012	339392	341650	2258	430	1	0,1904	0,319940476	1538	D	A	D	A	D	A	D	A
4	C	C-mGe005	Conversation	341360	342250	890	medium	Lt	Depictive	0	0	1	0	C-vE012	339392	341650	2258	290	0,3258	0,1284	0,184243965	1968	D	D	D	D	D	D	D	D
4	C	C-mGe006	Conversation	365940	366570	630	short	Bh-sym	Depictive	0	0	1	0	C-vE017	365481	366321	840	381	0,6048	0,4536	0,518367347	459	D	D	D	D	D	D	D	D
4	C	C-mGe007	Conversation	366570	366820	250	short	Rt	Pointing	0	0	0	1	C-vE018	366321	367903	1582	250	1	0,158	0,272925764	249	D	A	D	A	D	A	D	A
4	C	C-mGe008	Conversation	366820	367850	1030	medium	Rt	Pointing, Pragmatic	0	1	0	1	C-vE018	366321	367903	1582	1030	1	0,6511	0,788667688	499	D	A	D	A	D	S	D	S
4	C	C-mGe009	Conversation	395990	396640	650	short	Lt	Beat	1	0	0	0	C-vE020	394971	397153	2182	650	1	0,2979	0,459039548	1019	D	A	D	A	D	A	D	A
4	C	C-mGe010	Conversation	396900	397350	450	short	Lt	Beat	1	0	0	0	C-vE020	394971	397153	2182	253	0,5622	0,1159	0,19224924	1929	D	D	D	D	D	D	D	S
4	C	C-mGe011	Conversation	397350	397980	630	short	Lt	Beat	1	0	0	0	C-vE021	397153	399074	1921	630	1	0,328	0,493923952	197	D	A	D	A	D	A	S	A
4	C	C-mGe012	Conversation	397980	398310	330	short	Lt	Beat	1	0	0	0	C-vE021	397153	399074	1921	330	1	0,1718	0,293203021	827	D	A	D	A	D	A	D	A
4	C	C-mGe013	Conversation	398310	399400	1090	medium	Lt	Other, Pragmatic	0	1	0	0	C-vE021	397153	399074	1921	764	0,7009	0,3977	0,507472601	1157	D	D	D	D	D	D	D	D
4	C	C-mGe014	Conversation	404780	406740	1960	long	Lt	Depictive	0	0	1	0	C-vE026	404953	406413	1460	1460	0,7449	1	0,853801169	-173	A	D	A	D	A	D	S	D
4	C	C-mGe015	Conversation	406740	408040	1300	medium	Lt	Other, Pragmatic	0	1	0	0	C-vE027	406787	408713	1926	1253	0,9638	0,6506	0,776813392	-47	A	A	S	A	S	A	S	A
4	C	C-mGe016	Conversation	411100	411640	540	short	Lt	Beat	1	0	0	0	C-vE028	409420	411224	1804	124	0,2296	0,0687	0,105802048	1680	D	D	D	D	D	D	D	D
4	C	C-mGe017	Conversation	424610	425680	1070	medium	Lt	Other, Pragmatic	0	1	0	0	C-vE033	420310	421270	960	-3340	-3,1215	-3,4792	-3,290640394	4300	D	D	D	D	D	D	D	D
4	C	C-mGe018	Conversation	439620	440810	1190	medium	Rt	Pointing	0	0	0	1	C-vE041	439564	440848	1284	1190	1	0,9268	0,962004851	56	D	A	D	S	S	S	S	S
4	C	C-mGe019	Conversation	440810	441540	730	medium	Rt	Other, Pragmatic	0	1	0	0	C-vE042	440935	441637	702	605	0,8288	0,8618	0,844972067	-125	A	A	A	A	A	S	S	S
4	C	C-mGe020	Conversation	441540	442180	640	short	Rt	Depictive	0	0	1	0	C-vE043	441808	443136	1328	372	0,5813	0,2801	0,378048781	-268	A	A	A	A	A	A	A	A
4	C	C-mGe021	Conversation	449270	450070	800	medium	Bh-id	Depictive	0	0	1	0	C-vE048	449319	450261	942	751	0,9388	0,7972	0,862227325	-49	A	A	S	A	S	A	S	S
4	C	C-mGe022	Conversation	450070	450360	290	short	Bh-dif	Pointing, Pragmatic	0	1	0	1	C-vE048	449319	450261	942	191	0,6586	0,2028	0,310064936	751	D	D	D	D	D	S	D	S
4	C	C-mGe023	Conversation	450360	450890	530	short	Bh-dif	Depictive	0	0	1	0	C-vE049	450261	451741	1480	530	1	0,3581	0,527363184	99	D	A	D	A	S	A	S	A
4	C	C-mGe024	Conversation	450890	451950	1060	medium	Lt	Pointing, Pragmatic	0	1	0	1	C-vE049	450261	451741	1480	851	0,8028	0,575	0,67007874	629	D	D	D	D	D	D	D	D
4	C	C-mGe025	Conversation	467330	468360	1030	medium	Bh-dif	Beat, Pragmatic	1	1	0	0	C-vE054	467296	469326	2030	1030	1	0,5074	0,673202615	34	D	A	S	A	S	A	S	A
4	C	C-mGe026	Conversation	473490	474070	580	short	Bh-id	Beat	1	0	0	0	C-vE057	473745	474128	383	325	0,5603	0,8486	0,67497404	-255	A	A	A	A	A	S	A	S
4	C	C-mGe027	Conversation	475360	475900	540	short	Bh-id	Beat	1	0	0	0	C-vE058	474128	476542	2414	540	1	0,2237	0,365605958	1232	D	A	D	A	D	A	D	A
4	C	C-mGe028	Conversation	475900	476560	660	short	Bh-sym	Other, Pragmatic	0	1	0	0	C-vE058	474128	476542	2414	642	0,9727	0,2659	0,417696812	1772	D	D	D	S	D	S	D	S
4	C	C-mGe029	Conversation	498100	499370	1270	medium	Bh-sym	Beat	1	0	0	0	C-vE065	497687	499677	1990	1270	1	0,6382	0,779141105	413	D	A	D	A	D	A	D	A
4	C	C-mGe030	Conversation	499700	500920	1220	medium	Bh-dif	Depictive, Pragmatic	0	1	1	0	C-vE066	499894	501081	1187	1026	0,841	0,8644	0,852513503	-194	A	A	A	A	A	A	S	S
4	C	C-mGe031	Conversation	501080	501810	730	medium	Bh-id	Beat, Pragmatic	1	1	0	0	C-vE067	501081	502640	1559	729	0,9986	0,4676	0,636959371	-1	A	A	S	A	S	A	S	A
4	C	C-mGe032	Conversation	509970	510800	830	medium	Bh-sym	Depictive, Pragmatic	0	1	1	0	C-vE069	509915	510814	899	830	1	0,9232	0,960092539	55	D	A	D	S	S	S	S	S
4	C	C-mGe033	Conversation	512340	513550	1210	medium	Bh-sym	Depictive	0	0	1	0	C-vE071	513060	514468	1408	490	0,405	0,348	0,374331551	-720	A	A	A	A	A	A	A	A
4	C	C-mGe034	Conversation	513550	514830	1280	medium	Bh-sym	Depictive	0	0	1	0	C-vE071	513060	514468	1408	918	0,7172	0,652	0,683035714	490	D	D	D	D	D	D	D	D
4	C	C-mGe035	Conversation	514830	516260	1430	long	Bh-sym	Depictive	0	0	1	0	C-vE072	515230	515649	419	419	0,293	1	0,453217956	-400	A	D	A	D	A	D	A	D
4	C	C-mGe036	Conversation	546180	547360	1180	medium	Bh-dif	Depictive	0	0	1	0	C-vE074	546076	548230	2154	1180	1	0,5478	0,707858429	104	D	A	D	A	D	A	S	A
4	C	C-mGe037	Conversation	547360	548500	1140	medium	Bh-sym	Depictive	0	0	1	0	C-vE074	546076	548230	2154	870	0,7632	0,4039	0,528233152	1284	D	D	D	D	D	D	D	D
4	C	C-mGe038	Conversation	548500	549480	980	medium	Bh-sym	Depictive	0	0	1	0	C-vE075	548230	550187	1957	980	1	0,5008	0,667347634	270	D	A	D	A	D	A	D	A
4	C	C-mGe039	Conversation	583970	585810	1840	long	Bh-sym	Depictive	0	0	1	0	C-vE084	583931	585108	1177	1138	0,6185	0,9669	0,75439178	39	D	D	S	D	S	D	S	D
4	C	C-mGe040	Conversation	586050	587130	1080	medium	Bh-sym	Depictive	0	0	1	0	C-vE085	585234	586533	1299	483	0,4472	0,3718	0,406052964	816	D	D	D	D	D	D	D	D
4	C	C-mGe041	Conversation	587660	588540	880	medium	Lt	Other, Pragmatic	0	1	0	0	C-vE086	586981	588184	1203	524	0,5955	0,4356	0,503120499	679	D	D	D	D	D	D	D	D
4	C	C-mGe042	Conversation	593220	594260	1040	medium	Lt	Beat	1	0	0	0	C-vE088	591703	593370	1667	150	0,1442	0,09	0,11082379	1517	D	D	D	D	D	D	D	D
4	C	C-mGe043	Conversation	603730	604380	650	short	Rt	Depictive	0	0	1	0	C-vE093	603279	606537	3258	650	1	0,1995	0,332650972	451	D	A	D	A	D	A	D	A
4	C	C-mGe044	Conversation	604380	606270	1890	long	Rt	Depictive	0	0	1	0	C-vE093	603279	606537	3258	1890	1	0,5801	0,734265734	1101	D	A	D	A	D	A	D	A
4	C	C-mGe045	Conversation	616020	616610	590	short	Rt	Beat	1	0	0	0	C-vE097	615061	617670	2609	590	1	0,2261	0,368865271	959	D	A	D	A	D	A	D	A
4	C	C-mGe046	Conversation	616610	617570	960	medium	Bh-dif	Depictive	0	0	1	0	C-vE097	615061	617670	2609	960	1	0,368	0,537965817	1549	D	A	D	A	D	S	D	S
4	C	C-mGe047	Conversation	617570	618210	640	short	Rt	Depictive	0	0	1	0	C-vE097	615061	617670	2609	100	0,1563	0,0383	0,061557402	2509	D	D	D	D	D	D	D	D
4	C	C-mGe048	Conversation	618210	619530	1320	medium	Lt	Other, Pragmatic	0	1	0	0	C-vE098	618574	619154	580	580	0,4394	1	0,610526315	-364	A	D	A	D	A	D	A	D
4	C	C-mGe049	Conversation	627990	628800	810	medium	Bh-id	Beat	1	0	0	0	C-vE100	628340	629733	1393	460	0,5679	0,3302	0,417612347	-350	A	A	A	A	A	A	A	A
4	C	C-mGe050	Conversation	632860	633530	670	short	Bh-id	Depictive	0	0	1	0	C-vE102	632979	633919	940	551	0,8224	0,5862	0,68447205	-119	A	A	A	A	A	A	S	A
4	C	C-mGe051	Conversation	633530	633910	380	short	Bh-sym	Depictive	0	0	1	0	C-vE102	632979	633919	940	380	1	0,4043	0,575757576	551	D	A	D	S	D	S	D	S
4	C	C-mGe052	Conversation	666260	667100	840	medium	Rt	Pointing	0	0	0	1	C-vE109	666233	667814	1581	840	1	0,5313	0,693928129	27	D	A	S	A	S	A	S	A
4	C	C-mGe053	Conversation	667630	668900	1270	medium	Rt	Pointing, Pragmatic	0	1	0	1	C-vE110	667814	669001	1187	1086	0,8551	0,9149	0,884004884	-184	A	A	A	A	A	A	S	S
4	C	C-mGe054	Conversation	671930	672730	800	medium	Lt	Beat	1	0	0	0	C-vE113	672003	673832	1829	727	0,9088	0,3975	0,553062001	-73	A	A	A	A	S	A	S	A
4	C	C-mGe055	Conversation	673940	674390	450	short	Bh-dif	Pointing, Pragmatic	0	1	0	1	C-vE114	674112	675700	1588	278	0,6178	0,1751	0,272816487	-172	A	A	A	A	A	A	S	A
