record_id	participant	gesture_id	stage	time_begin	time_end	duration	ge_handedness	ge_function	pragmatic	ge_structure	ge_tags	MaxHM	edu_id_form	has_sem_edu	time_begin	time_end	duration	edu_html	edu_illoc_phas	edu_main_acc	edu_words_num	LeftDiff	RightDiff	eCoord0	eCoord0	sCoord50	eCoord50	sCoord100	eCoord100	sCoord200	eCoord200
4	C	C-mGe001	Conversation	338930	339670	740	Lt	Other	 Pragmatic	P S	S Rebound	0,44423	C-vE011	0	338052	339392	1340	Самая /мелкая это была \д<u>е</u>вочка,	Comma	F	5	878	278	D	D	D	D	D	D	D	D
4	C	C-mGe002	Conversation	339670	340330	660	Lt	Depictive		P S		0,45236	C-vE012	1	339392	341650	2258	у неё были /–волосы вот?т (0.32) \так<u>и</u>е вот.	Period	F	7	278	-1320	D	A	D	A	D	A	D	A
4	C	C-mGe003	Conversation	340330	340930	600	Lt	Depictive		P S		0,41987	C-vE012	1	339392	341650	2258	у неё были /–волосы вот?т (0.32) \так<u>и</u>е вот.	Period	F	7	938	-720	D	A	D	A	D	A	D	A
4	C	C-mGe004	Conversation	340930	341360	430	Lt	Depictive		S		0,31994	C-vE012	1	339392	341650	2258	у неё были /–волосы вот?т (0.32) \так<u>и</u>е вот.	Period	F	7	1538	-290	D	A	D	A	D	A	D	A
4	C	C-mGe005	Conversation	341360	342250	890	Lt	Depictive		S-R	S Rebound	0,18424	C-vE012	1	339392	341650	2258	у неё были /–волосы вот?т (0.32) \так<u>и</u>е вот.	Period	F	7	1968	600	D	D	D	D	D	D	D	D
4	C	C-mGe006	Conversation	365940	366570	630	Bh-sym	Depictive		P S= R	BreakOff	0,51837	C-vE017	0	365481	366321	840	Какие-то \??стр<u>а</u>нные,	Comma	Frl	2	459	249	D	D	D	D	D	D	D	D
4	C	C-mGe007	Conversation	366570	366820	250	Rt	Pointing		S		0,27293	C-vE018	0	366321	367903	1582	/красные с какими-то \??уз<u>о</u>рами.	Period	Frl	4	249	-1083	D	A	D	A	D	A	D	A
4	C	C-mGe008	Conversation	366820	367850	1030	Rt	Pointing	 Pragmatic	S R	Lt R Overlap, R Rebound	0,78867	C-vE018	0	366321	367903	1582	/красные с какими-то \??уз<u>о</u>рами.	Period	Frl	4	499	-53	D	A	D	A	D	S	D	S
4	C	C-mGe009	Conversation	395990	396640	650	Lt	Beat		P-S R		0,45904	C-vE020	0	394971	397153	2182	И || и /одет он как-то не \по-ф<u>е</u>рмерски<sup>?</sup>:	Colon	F	7	1019	-513	D	A	D	A	D	A	D	A
4	C	C-mGe010	Conversation	396900	397350	450	Lt	Beat		S		0,19225	C-vE020	0	394971	397153	2182	И || и /одет он как-то не \по-ф<u>е</u>рмерски<sup>?</sup>:	Colon	F	7	1929	197	D	D	D	D	D	D	D	S
4	C	C-mGe011	Conversation	397350	397980	630	Lt	Beat		S H	S Rebound	0,49392	C-vE021	0	397153	399074	1921	в такие || /–бот<u>и</u>нки у него модные,,,	Dots-nf	RL	6	197	-1094	D	A	D	A	D	A	S	A
4	C	C-mGe012	Conversation	397980	398310	330	Lt	Beat		S R	Repeat	0,2932	C-vE021	0	397153	399074	1921	в такие || /–бот<u>и</u>нки у него модные,,,	Dots-nf	RL	6	827	-764	D	A	D	A	D	A	D	A
