record	partRole	gestureID	stage	gStartTime	gEndTime	gDuration	gFunction	sem_edu	eStartTime	eEndTime	eDuration	Intersection	sDifference	sCoord0	eCoord0	sCoord50	eCoord50	sCoord100	eCoord100	sCoord200	eCoord200																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe002	Conversation	339670	340330	660	Depictive	C-vE012	339392	341650	2258	660	278	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe003	Conversation	340330	340930	600	Depictive	C-vE012	339392	341650	2258	600	938	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe004	Conversation	340930	341360	430	Depictive	C-vE012	339392	341650	2258	430	1538	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe005	Conversation	341360	342250	890	Depictive	C-vE012	339392	341650	2258	290	1968	D	D	D	D	D	D	D	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe014	Conversation	404780	406740	1960	Depictive	C-vE026	404953	406413	1460	1460	-173	A	D	A	D	A	D	S	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe020	Conversation	441540	442180	640	Depictive	C-vE043	441808	443136	1328	372	-268	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe033	Conversation	512340	513550	1210	Depictive	C-vE071	513060	514468	1408	490	-720	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe034	Conversation	513550	514830	1280	Depictive	C-vE071	513060	514468	1408	918	490	D	D	D	D	D	D	D	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe035	Conversation	514830	516260	1430	Depictive	C-vE071	513060	514468	1408	-362	1770	D	D	D	D	D	D	D	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe036	Conversation	546180	547360	1180	Depictive	C-vE074	546076	548230	2154	1180	104	D	A	D	A	D	A	S	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe037	Conversation	547360	548500	1140	Depictive	C-vE074	546076	548230	2154	870	1284	D	D	D	D	D	D	D	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe039	Conversation	583970	585810	1840	Depictive	C-vE084	583931	585108	1177	1138	39	D	D	S	D	S	D	S	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe040	Conversation	586050	587130	1080	Depictive	C-vE085	585234	586533	1299	483	816	D	D	D	D	D	D	D	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe043	Conversation	603730	604380	650	Depictive	C-vE093	603279	606537	3258	650	451	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe044	Conversation	604380	606270	1890	Depictive	C-vE093	603279	606537	3258	1890	1101	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe046	Conversation	616610	617570	960	Depictive	C-vE097	615061	617670	2609	960	1549	D	A	D	A	D	S	D	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe047	Conversation	617570	618210	640	Depictive	C-vE097	615061	617670	2609	100	2509	D	D	D	D	D	D	D	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe050	Conversation	632860	633530	670	Depictive	C-vE102	632979	633919	940	551	-119	A	A	A	A	A	A	S	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe051	Conversation	633530	633910	380	Depictive	C-vE102	632979	633919	940	380	551	D	A	D	S	D	S	D	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe060	Conversation	685560	686720	1160	Depictive, Pragmatic	C-vE124	684596	686069	1473	509	964	D	D	D	D	D	D	D	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe064	Conversation	707060	707880	820	Depictive	C-vE136	707962	709625	1663	-82	-902	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe065	Conversation	707880	709130	1250	Depictive	C-vE136	707962	709625	1663	1168	-82	A	A	A	A	S	A	S	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe067	Conversation	785770	787310	1540	Depictive	C-vE162	785749	786999	1250	1229	21	D	D	S	D	S	D	S	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe069	Conversation	788170	788840	670	Depictive	C-vE163	787316	789191	1875	670	854	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe071	Conversation	789710	790400	690	Depictive	C-vE164	789191	791713	2522	690	519	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe075	Conversation	988320	989580	1260	Depictive	C-vE209	988405	990442	2037	1175	-85	A	A	A	A	S	A	S	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe076	Conversation	989580	990240	660	Depictive	C-vE209	988405	990442	2037	660	1175	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe078	Conversation	991440	993030	1590	Depictive	C-vE211	992431	992957	526	526	-991	A	D	A	D	A	S	A	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe079	Conversation	1038090	1039230	1140	Depictive	C-vE221	1038374	1039583	1209	856	-284	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe080	Conversation	1039230	1039750	520	Depictive	C-vE221	1038374	1039583	1209	353	856	D	D	D	D	D	D	D	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe081	Conversation	1039750	1040560	810	Depictive	C-vE222	1039583	1040739	1156	810	167	D	A	D	A	D	A	S	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe090	Conversation	1048150	1049480	1330	Depictive	C-vE227	1048224	1049491	1267	1256	-74	A	A	A	S	S	S	S	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe096	Conversation	1059290	1059860	570	Depictive	C-vE234	1057982	1058998	1016	-292	1308	D	D	D	D	D	D	D	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe097	Conversation	1059860	1061300	1440	Depictive	C-vE234	1057982	1058998	1016	-862	1878	D	D	D	D	D	D	D	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe098	Conversation	1064400	1065200	800	Depictive	C-vE239	1063920	1064985	1065	585	480	D	D	D	D	D	D	D	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe099	Conversation	1065200	1065950	750	Depictive	C-vE240	1065344	1066280	936	606	-144	A	A	A	A	A	A	S	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe100	Conversation	1065950	1067050	1100	Depictive	C-vE241	1066280	1067813	1533	770	-330	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe101	Conversation	1067050	1067720	670	Depictive	C-vE241	1066280	1067813	1533	670	770	D	A	D	A	D	S	D	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe102	Conversation	1067720	1069140	1420	Depictive	C-vE241	1066280	1067813	1533	93	1440	D	D	D	D	D	D	D	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	C	C-mGe103	Conversation	1073250	1075040	1790	Depictive	C-vE244	1072516	1073615	1099	365	734	D	D	D	D	D	D	D	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
